nr;stadt;name;strasse;plz;ort;stadtteil;telefon;email;email_quelle;website;bewertung;anzahl_bewertungen;pruef_partner;quelle
1;Berlin;Excellent Unfallgutachten | Zertifizierter Kfz Sachverständiger und Kfz Gutachter;Backbergstr. 33;12359;Berlin;Britz;0163 8 88 88 84;info@excellent-unfallgutachten.de;Gelbe Seiten;http://www.excellent-unfallgutachten.de;5.0;5;;https://www.gelbeseiten.de/gsbiz/31764be1-1ff8-4e02-9704-f7a0effe7cc5
2;Berlin;Dipl.-Ing. G. Urbanke & Partner - Kfz-Sachverständige;Drontheimer Str. 20;13359;Berlin;Gesundbrunnen;030 4 94 87 88;kontakt@urbanke.net;Gelbe Seiten;http://www.urbanke.net;4.8;4;;https://www.gelbeseiten.de/gsbiz/af194768-f109-4cd1-b19e-f8ac003a9581
3;Berlin;Dein Unfallgutachter;Gneisenaustr.55;10961;Berlin;Kreuzberg;0172 2 61 86 77;Info@dein-unfallgutachter.com;Gelbe Seiten;http://Dein-Unfallgutachter.com;5.0;2;;https://www.gelbeseiten.de/gsbiz/c354b20a-5450-49c2-b442-1c0d1a5f4c62
4;Berlin;Hantschel Matthias KFZ-Sachverständiger;Hindenburgdamm 58A;12203;Berlin;Lichterfelde;030 85 99 92 43;info@ingenieurbuero-hantschel.de;Gelbe Seiten;http://ingenieurbuero-hantschel.de;1.0;2;;https://www.gelbeseiten.de/gsbiz/89ff1eb2-de92-4a0b-b0d4-86a0ba007d64
5;Berlin;Kfz-Prüfstelle u. Kfz-Sachverständige Andrè Engelmann u. Klaus-Dieter Schmidt;Alt-Biesdorf 72A;12683;Berlin;Biesdorf;030 51 70 03 73;info@engelmann-schmidt.de;Gelbe Seiten;https://www.prüfstelle.berlin;5.0;1;;https://www.gelbeseiten.de/gsbiz/35969f01-b6e1-4c30-b7fa-3cab8107d694
6;Berlin;GBDF/ Kfz-Gutachter Pankow Weissensee D. Feuersenger;Lehderstr. 59;13086;Berlin;Weißensee;030 41 99 52 04;kontakt@daniel-feuersenger.de;Impressum/Website;https://www.kfz-gutachter-berlin.online;;;;https://www.gelbeseiten.de/gsbiz/100e4f49-bd13-45b4-b0b9-9445189a11f8
7;Berlin;Ingenieurbüro Rein – Kfz Unfallgutachter, Kfz Sachverständiger & Kfz Gutachter in Berlin;Alt-Moabit 98;10559;Berlin;Moabit;0176 85 95 43 92;rein@sv-ibr.de;Impressum/Website;https://sv-ibr.de;;;;https://www.gelbeseiten.de/gsbiz/0253259d-535f-4f05-95cd-2138cbe565d4
8;Berlin;Profi Gutachten 24;Alexanderstraße 25;10179;Berlin;Mitte;0176 36 34 54 63;kontakt@profigutachten24.de;Impressum/Website;https://profigutachten24.de/;;;;https://www.gelbeseiten.de/gsbiz/0580dd64-1317-4deb-9bd9-1d9ffb2118a0
9;Berlin;Zynova Gutachten;Dudenstraße 78;10965;Berlin;Schöneberg;0151 67 36 32 19;info@zynova-gutachten.de;Impressum/Website;https://zynova-gutachten.de/;;;;https://www.gelbeseiten.de/gsbiz/7da33c1c-d9e1-4f03-a6a3-45a71f3f26d8
10;Berlin;ARG KFZ-GUTACHTEN, Ingenieurbüro, Unfallsachverständiger;Gottschedstraße 1;13357;Berlin;Gesundbrunnen;0157 37 32 26 49;Kfz-Gutachter-arg@web.de;Impressum/Website;https://www.arg-gutachter.de/;;;;https://www.gelbeseiten.de/gsbiz/6535d84b-cf9a-4e6f-a713-57c3c19f7d27
11;Berlin;Kfz-Sachverständigenbüro A. Adler GmbH;Kurfürstendamm 195;10707;Berlin;;030 40 75 59 49;info@kfz-gutachter-adler.de;Impressum/Website;https://kfz-gutachter-adler.de/;;;;https://www.gelbeseiten.de/gsbiz/49fbba14-9feb-4df6-bce3-033c0b42c436
12;Berlin;HB-Gutachten | Kfz-Sachverständiger;Osloer Straße 94A;13359;Berlin;Gesundbrunnen;0176 58 88 51 07;info@hb-gutachten.de;Impressum/Website;http://www.HB-Gutachten.de;;;;https://www.gelbeseiten.de/gsbiz/6a464ea5-bba1-4584-aefe-b33203937f0b
13;Berlin;Gutachter4You;Brandenburgische Str. 10;10117;Berlin;Wilmersdorf;030 99 26 70 37;info@gutachter4you.com;Impressum/Website;https://www.gutachter4you.com/;;;;https://www.gelbeseiten.de/gsbiz/f1064e13-370f-4672-a96a-44f26a139d1d
14;Berlin;Klarcheck KFZ Gutachter;brandenburgische strasse 77;10713;Berlin;Wilmersdorf;030 95 99 67 48;;;http://www.Unfallexperte-berlin.de;;;;https://www.gelbeseiten.de/gsbiz/395f692c-d127-4e4b-8747-193141cdd8cf
15;Berlin;Sachverständiger Erdmann;Greta-Garbo-Str. 6;13189;Berlin;Pankow;0176 49 39 74 87;kontakt@sv-erdmann.de;Impressum/Website;https://www.sv-erdmann.de/;;;;https://www.gelbeseiten.de/gsbiz/b65adac7-13ef-47d5-832d-1f9060d08c7a
16;Berlin;ADEL Gutachten;Warthestr. 4;12051;Berlin;Neukölln;0179 2 24 23 00;info@adel-gutachten.de;Impressum/Website;https://adel-gutachten.de/;;;;https://www.gelbeseiten.de/gsbiz/caffa887-ab33-4640-b5bd-174069ab58ba
17;Berlin;Kfz Sachverstaendigenbüro Karagoez UG;Holsteinischestr. 24;12161;Berlin;Steglitz;0176 83 40 55 41;info@kfz-sachverstaendigenbuero-karagoez.de;Impressum/Website;https://www.kfz-sachverstaendigenbuero-karagoez.de;;;;https://www.gelbeseiten.de/gsbiz/b6233cfa-757c-4dfd-9db9-ffd59af39d30
18;Berlin;KFZ Gutachten Zentrum Berlin GmbH;Gutsmuthsstraße 6;12163;Berlin;Steglitz;0176 22 74 35 37;info@gutachtenzentrum-berlin.de;Impressum/Website;https://gutachtenzentrum-berlin.de/;;;;https://www.gelbeseiten.de/gsbiz/9fcee2bd-6166-4cf2-b3a7-c6bc35cd19d5
19;Berlin;Gutachterbüro H.Jallous;Josef-Orlopp-Str. 51;10365;Berlin;Lichtenberg;0176 20 21 78 08;info@jallous-kfz-gutachten.de;Impressum/Website;https://www.jallous-kfz-gutachten.de/;;;;https://www.gelbeseiten.de/gsbiz/8ac01543-fd2a-4af1-8700-9d27a262b9f6
20;Berlin;Kfz-Sachverständiger Tuna Ayran;Unter den Rüstern 10;12167;Berlin;Steglitz;0151 46 34 33 63;info@kfz-gutachten-ayran.de;Impressum/Website;https://www.kfz-gutachten-ayran.de;;;;https://www.gelbeseiten.de/gsbiz/69b22b74-a8ab-4f09-be5c-b4a22d5c635f
21;Hamburg;Eggers Christian Kfz-Sachverständigenbüro;Wragekamp 1;22397;Hamburg;Duvenstedt;040 63 12 84 48;info@unfallgehabt.de;Impressum/Website;http://www.unfallgehabt.de;5.0;38;;https://www.gelbeseiten.de/gsbiz/09ab6911-73d9-4224-a238-bf18f24f44a6
22;Hamburg;POINT of GUTACHTEN GmbH;Borgfelder Str. 84;20537;Hamburg;Borgfelde;040 22 89 73 53;info@pointofgutachten.de;Impressum/Website;http://www.pointofgutachten.de;5.0;15;;https://www.gelbeseiten.de/gsbiz/9a73104e-340c-4b28-99d4-067572838bef
23;Hamburg;KST KFZ-Sachverständigenteam GmbH;Habichtstr. 106;22307;Hamburg;Barmbek-Nord;040 61 18 53 60;;;http://www.kfz-sachverstaendige.org;5.0;1;;https://www.gelbeseiten.de/gsbiz/a4772ddf-736b-4395-b821-805a6d413737
24;Hamburg;Hamburg Kfz Gutachter Shahry;Legienstr.;22111;Hamburg;Horn;0176 44 60 47 04;info@hamburg-kfzgutachter.com;Impressum/Website;http://www.hamburg-kfzgutachter.com;5.0;1;;https://www.gelbeseiten.de/gsbiz/073b9418-2612-422b-a4f7-95861267fb4e
25;Hamburg;Unfallretter GbR - Ihr Ingenieurbüro für Kfz-Gutachten;Klosterwall 2;20095;Hamburg;Altstadt;040 60 05 10 49;kontakt@unfallretter.com;Impressum/Website;https://unfallretter.com/;5.0;1;;https://www.gelbeseiten.de/gsbiz/d830e554-b0cc-4d5d-b146-7daf3522360d
26;Hamburg;ALKAN ÜSTÜNER KFZ-Gutachter;Luruper Hauptstr. 45;22547;Hamburg;Lurup;0174 3 82 48 33;info@kfzgutachteralkan.de;Impressum/Website;http://www.kfzgutachteralkan.de;;;;https://www.gelbeseiten.de/gsbiz/d48509a6-f012-419e-a3b2-00ce5fdc6d3a
27;Hamburg;Gezgin Alper KFZ-Sachverständigenbüro;Farnhornstieg 10;22525;Hamburg;Eidelstedt;0176 20 48 57 56;info@kfzgutachter-gezgin.de;Impressum/Website;http://www.kfzgutachter-gezgin.de;;;;https://www.gelbeseiten.de/gsbiz/f1c82838-5fc5-42e5-82bd-8208b4955133
28;Hamburg;KFZ-Sachverständigenbüro Kohn und Thomas Inh. Michael Kohn;Frohmestr. 106;22459;Hamburg;Schnelsen;040 5 59 10 60;info@sv-kohn-thomas.de;Impressum/Website;http://www.sv-kohn-thomas.de;;;;https://www.gelbeseiten.de/gsbiz/7e4d7d48-d33e-4907-a6e1-4ef810e6ba04
29;Hamburg;Bense + Jessen KFZ-Sachverständige;Großmoorbogen 11B;21079;Hamburg;Neuland;040 7 67 00 70;info@bense-jessen.de;Impressum/Website;http://www.bense-jessen.de;;;;https://www.gelbeseiten.de/gsbiz/df74457a-6fae-45e9-8421-0c55eeec42d1
30;Hamburg;Bense + Jessen, Ingenieurbüro für Kfz-Technik;Brookkehre 4;21029;Hamburg;Bergedorf;040 7 35 94 00;info@bense-jessen.de;Impressum/Website;http://www.bense-jessen.de;;;;https://www.gelbeseiten.de/gsbiz/7e0f52d0-d07b-43ef-9ee9-5cd8abea4f29
31;Hamburg;Kfz-Sachverständigenbüro, Maik Decampe;Winsener Str. 1;29614;Soltau;Abelbeck;05191 96 45 34;info@sv-decampe.de;Impressum/Website;http://www.kfz-gutachter-heidekreis.de;;;;https://www.gelbeseiten.de/gsbiz/8174edb4-fbf4-402e-badc-82a95533b886
32;Hamburg;Schönknecht KFZ-Sachverständigenbüro;Ulzburger Str. 145;22850;Norderstedt;Harksheide;040 52 54 04-1;info@sv-schoenknecht.com;Impressum/Website;http://www.sv-schoenknecht.com;;;;https://www.gelbeseiten.de/gsbiz/78344a34-473e-43cc-b07d-d86240d2bd73
33;Hamburg;2S-KFZ Ingenieur- & Sachverständigenbüro GbR - Hamburg;Neuer Wall 80;20354;Hamburg;Neustadt;0179 4 65 25 94;kontakt@crashexperts24.de;Impressum/Website;https://www.crashexperts24.de/kfz-gutachter-hamburg;;;;https://www.gelbeseiten.de/gsbiz/8e163e24-cd1b-4baf-96ab-b3a54cbd3bfc
34;Hamburg;Bären Kfz-Gutachten Norderstedt;Aspelohe 32;22848;Norderstedt;Garstedt;0176 80 41 04 89;info@baeren-automotive.de;Impressum/Website;http://baeren-gutachten.de;;;;https://www.gelbeseiten.de/gsbiz/4a9b4225-fff1-428b-b7bf-0681cda0d00b
